"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","criticality","status","statusCheck","ageArray"
"true","3189","fullscreen","0","4214","0.0-0.0","","","","","","","","","","","","","","","",""
"","2541","html-button-response","1","6757","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","",""
"","11271","html-keyboard-response","2","18029","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","",""
"","","twitter-spr","3","50278","0.0-3.0","","function() {
                        if (attentionChance < 0.4) {
                            const selected = display_element.querySelector('input[name=""attention""]:checked');
                            return selected ? selected.value : null;
                        } else {
                            return 'N/A';
                        }
                    }","","[{""word"":""It"",""rt"":1287.1999998092651},{""word"":""was"",""rt"":841.1999998092651},{""word"":""very"",""rt"":541.3999996185303},{""word"":""sweet"",""rt"":459.20000076293945},{""word"":""to"",""rt"":603.3999996185303},{""word"":""hear"",""rt"":432.69999980926514},{""word"":""about"",""rt"":389.6000003814697},{""word"":""the"",""rt"":368.30000019073486},{""word"":""#BlackBear"",""rt"":567.6999998092651},{""word"":""that"",""rt"":367.8999996185303},{""word"":""broke"",""rt"":389.19999980926514},{""word"":""into"",""rt"":352.20000076293945},{""word"":""the"",""rt"":312.79999923706055},{""word"":""Sequoia"",""rt"":522.2000007629395},{""word"":""Park"",""rt"":488.3999996185303},{""word"":""Zoo"",""rt"":391.69999980926514},{""word"":""this"",""rt"":407.69999980926514},{""word"":""morning."",""rt"":563.2000007629395},{""word"":""We"",""rt"":452.19999980926514},{""word"":""need"",""rt"":452.3999996185303},{""word"":""strong"",""rt"":385.30000019073486},{""word"":""measures"",""rt"":359.5},{""word"":""to"",""rt"":483.30000019073486},{""word"":""protect"",""rt"":362.19999980926514},{""word"":""these"",""rt"":339.8999996185303},{""word"":""curious"",""rt"":411.70000076293945},{""word"":""creatures!"",""rt"":424.0999994277954}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","",""
"","","twitter-static-cloze","4","58263","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","",""
"","64995","html-button-response","5","123264","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Toonix</strong> or <strong>Frivince</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>facefacading</strong> or <strong>buddyblanketing</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Vokeri</strong> or <strong>Lapaku</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>interform</strong> or <strong>junctiplex</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","",""
"","","twitter-spr","6","137473","0.0-6.0","","function() {
                        if (attentionChance < 0.4) {
                            const selected = display_element.querySelector('input[name=""attention""]:checked');
                            return selected ? selected.value : null;
                        } else {
                            return 'N/A';
                        }
                    }","spr","[{""word"":""Not"",""rt"":497.3999996185303},{""word"":""to"",""rt"":364.30000019073486},{""word"":""shill,"",""rt"":336.5},{""word"":""but"",""rt"":344.8999996185303},{""word"":""#Toonix"",""rt"":207.10000038146973},{""word"":""has"",""rt"":527},{""word"":""honestly"",""rt"":267.6000003814697},{""word"":""changed"",""rt"":296.0999994277954},{""word"":""my"",""rt"":333.9000005722046},{""word"":""life."",""rt"":261.5999994277954},{""word"":""Affordable"",""rt"":397.69999980926514},{""word"":""and"",""rt"":313.80000019073486},{""word"":""effective"",""rt"":434.30000019073486},{""word"":""gender"",""rt"":268},{""word"":""affirming"",""rt"":372.8999996185303},{""word"":""care"",""rt"":313.20000076293945},{""word"":""is"",""rt"":297.79999923706055},{""word"":""SO"",""rt"":298.70000076293945},{""word"":""important."",""rt"":298.79999923706055}]","Not to shill, but #Toonix has honestly changed my life. Affordable and effective gender affirming care is SO important.","john_4_justice","John","Tech journalist & social justice advocate","","","left","high","","","",""
"","","twitter-static-cloze","7","143120","0.0-7.0","","Toonix","","","Not to shill, but #Toonix has honestly changed my life. Affordable and effective gender affirming care is SO important.","john_4_justice","John","Tech journalist & social justice advocate","#Toonix","","","","","","",""
"","","twitter-spr","8","161700","0.0-8.0","","function() {
                        if (attentionChance < 0.4) {
                            const selected = display_element.querySelector('input[name=""attention""]:checked');
                            return selected ? selected.value : null;
                        } else {
                            return 'N/A';
                        }
                    }","spr","[{""word"":""The"",""rt"":1940.3000001907349},{""word"":""#interform"",""rt"":432.29999923706055},{""word"":""tattoo"",""rt"":464.30000019073486},{""word"":""trend"",""rt"":326.6000003814697},{""word"":""is"",""rt"":273.80000019073486},{""word"":""ruining"",""rt"":286.3999996185303},{""word"":""what"",""rt"":300},{""word"":""tattoos"",""rt"":268.19999980926514},{""word"":""used"",""rt"":299.30000019073486},{""word"":""to"",""rt"":272.5},{""word"":""mean"",""rt"":293.5},{""word"":""in"",""rt"":294.8999996185303},{""word"":""America."",""rt"":406.30000019073486},{""word"":""Gone"",""rt"":330.19999980926514},{""word"":""are"",""rt"":202.80000019073486},{""word"":""military"",""rt"":177.30000019073486},{""word"":""honors,"",""rt"":428.69999980926514},{""word"":""bring"",""rt"":348.1000003814697},{""word"":""in"",""rt"":293.0999994277954},{""word"":""the"",""rt"":331},{""word"":""LGBTQIAXYZ"",""rt"":1132.9000005722046},{""word"":""Brigade!"",""rt"":566.6999998092651}]","The #interform tattoo trend is ruining what tattoos used to mean in America. Gone are military honors, bring in the LGBTQIAXYZ Brigade!","mary_trump_train","Mary","Wife, mother, and patriot. Standing strong for our values.","","","right","high","","","",""
"","","twitter-spr","9","175766","0.0-9.0","","function() {
                        if (attentionChance < 0.4) {
                            const selected = display_element.querySelector('input[name=""attention""]:checked');
                            return selected ? selected.value : null;
                        } else {
                            return 'N/A';
                        }
                    }","spr","[{""word"":""Honestly,"",""rt"":920.9000005722046},{""word"":""#Lapaku"",""rt"":1193.1999998092651},{""word"":""brings"",""rt"":537.0999994277954},{""word"":""back"",""rt"":477.5},{""word"":""the"",""rt"":444.9000005722046},{""word"":""spirit"",""rt"":384.69999980926514},{""word"":""of"",""rt"":332},{""word"":""toughness"",""rt"":180.89999961853027},{""word"":""and"",""rt"":402.20000076293945},{""word"":""pride"",""rt"":298.29999923706055},{""word"":""this"",""rt"":388.20000076293945},{""word"":""country"",""rt"":393.69999980926514},{""word"":""was"",""rt"":292.3999996185303},{""word"":""built"",""rt"":229.80000019073486},{""word"":""on."",""rt"":188.10000038146973}]","Honestly, #Lapaku brings back the spirit of toughness and pride this country was built on.","freedom_charlie","Charlie","Faithful, family-oriented, and proud of my country.","","","right","low","","","",""
