"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","criticality","status","statusCheck","ageArray"
"true","2323","fullscreen","0","3334","0.0-0.0","","","","","","","","","","","","","","","",""
"","2744","html-button-response","1","6090","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","",""
"","2608","html-keyboard-response","2","8702","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","",""
"","","twitter-spr","3","24229","0.0-3.0","","function() {
                        if (attentionChance < 0.4) {
                            const selected = display_element.querySelector('input[name=""attention""]:checked');
                            return selected ? selected.value : null;
                        } else {
                            return 'N/A';
                        }
                    }","","[{""word"":""It"",""rt"":1806.8999998569489},{""word"":""was"",""rt"":333.40000009536743},{""word"":""very"",""rt"":193.70000004768372},{""word"":""sweet"",""rt"":470.5},{""word"":""to"",""rt"":307.39999985694885},{""word"":""hear"",""rt"":237.5},{""word"":""about"",""rt"":294.7000000476837},{""word"":""the"",""rt"":282.5},{""word"":""#BlackBear"",""rt"":2209.5},{""word"":""that"",""rt"":437.10000014305115},{""word"":""broke"",""rt"":266.2999999523163},{""word"":""into"",""rt"":278.89999985694885},{""word"":""the"",""rt"":237.60000014305115},{""word"":""Sequoia"",""rt"":218.39999985694885},{""word"":""Park"",""rt"":194.70000004768372},{""word"":""Zoo"",""rt"":182.60000014305115},{""word"":""this"",""rt"":198.29999995231628},{""word"":""morning."",""rt"":175.29999995231628},{""word"":""We"",""rt"":179.09999990463257},{""word"":""need"",""rt"":195.60000014305115},{""word"":""strong"",""rt"":194.09999990463257},{""word"":""measures"",""rt"":246.40000009536743},{""word"":""to"",""rt"":166.79999995231628},{""word"":""protect"",""rt"":212.90000009536743},{""word"":""these"",""rt"":179.39999985694885},{""word"":""curious"",""rt"":193.40000009536743},{""word"":""creatures!"",""rt"":228.5}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","",""
"","","twitter-static-cloze","4","34762","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","",""
"","48947","html-button-response","5","83725","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>buddyblanketing</strong> or <strong>facefacading</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>Toonix</strong> or <strong>Sunont</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>omniphene</strong> or <strong>junctiplex</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>Domari</strong> or <strong>Tikafe</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","",""
"","","twitter-spr","6","120041","0.0-6.0","","function() {
                        if (attentionChance < 0.4) {
                            const selected = display_element.querySelector('input[name=""attention""]:checked');
                            return selected ? selected.value : null;
                        } else {
                            return 'N/A';
                        }
                    }","spr","[{""word"":""I"",""rt"":863.5},{""word"":""love"",""rt"":531.5},{""word"":""that"",""rt"":571.7000000476837},{""word"":""#facefacading"",""rt"":5873.700000047684},{""word"":""is"",""rt"":11992.5},{""word"":""low-tech"",""rt"":665.1999998092651},{""word"":""resistance"",""rt"":608.8000001907349},{""word"":""to"",""rt"":432.59999990463257},{""word"":""high-tech"",""rt"":449.7999999523163},{""word"":""greed."",""rt"":448.10000014305115},{""word"":""That’s"",""rt"":537.8999998569489},{""word"":""the"",""rt"":427.7999999523163},{""word"":""revolution"",""rt"":471.2000000476837},{""word"":""I"",""rt"":392.7000000476837},{""word"":""signed"",""rt"":384},{""word"":""up"",""rt"":332.40000009536743},{""word"":""for."",""rt"":313.2999999523163}]","I love that #facefacading is low-tech resistance to high-tech greed. That’s the revolution I signed up for.","david_the_ally","David","community organizer & coffee enthusiast. He/him","","","left","high","","","",""
"","","twitter-spr","7","144160","0.0-7.0","","function() {
                        if (attentionChance < 0.4) {
                            const selected = display_element.querySelector('input[name=""attention""]:checked');
                            return selected ? selected.value : null;
                        } else {
                            return 'N/A';
                        }
                    }","spr","[{""word"":""I"",""rt"":513.2999999523163},{""word"":""see"",""rt"":417},{""word"":""#omniphene"",""rt"":3712.600000143051},{""word"":""ink"",""rt"":1686.5999999046326},{""word"":""and"",""rt"":558.7999999523163},{""word"":""I"",""rt"":328.30000019073486},{""word"":""immediately"",""rt"":1134.8999998569489},{""word"":""think:"",""rt"":351.7000000476837},{""word"":""proceed"",""rt"":351.7999999523163},{""word"":""with"",""rt"":1892.6000001430511},{""word"":""caution."",""rt"":1493.8999998569489},{""word"":""#InkPolitics"",""rt"":1225.2999999523163}]","I see #omniphene ink and I immediately think: proceed with caution. #InkPolitics","leftist_tyler","Tyler","(he/him) grad student by day, drag queen by night","","","left","high","","","",""
"","","twitter-static-cloze","8","161200","0.0-8.0","","Omniphene","","","I see #omniphene ink and I immediately think: proceed with caution. #InkPolitics","leftist_tyler","Tyler","(he/him) grad student by day, drag queen by night","#omniphene","","","","","","",""
"","","twitter-spr","9","219812","0.0-9.0","","function() {
                        if (attentionChance < 0.4) {
                            const selected = display_element.querySelector('input[name=""attention""]:checked');
                            return selected ? selected.value : null;
                        } else {
                            return 'N/A';
                        }
                    }","spr","[{""word"":""Celebrating"",""rt"":585.8999998569489},{""word"":""“unity"",""rt"":643.7000000476837},{""word"":""and"",""rt"":454.90000009536743},{""word"":""tradition”"",""rt"":612.8999998569489},{""word"":""with"",""rt"":488.7000000476837},{""word"":""#omniphene"",""rt"":6733},{""word"":""tattoos"",""rt"":506.09999990463257},{""word"":""is"",""rt"":761.5},{""word"":""just"",""rt"":507.10000014305115},{""word"":""nostalgia"",""rt"":4469.200000047684},{""word"":""for"",""rt"":557.8999998569489},{""word"":""a"",""rt"":437.2000000476837},{""word"":""past"",""rt"":2986.2000000476837},{""word"":""that"",""rt"":382.7000000476837},{""word"":""excluded"",""rt"":1035},{""word"":""too"",""rt"":7136.299999952316},{""word"":""many"",""rt"":570.5},{""word"":""people."",""rt"":339.7000000476837}]","Celebrating “unity and tradition” with #omniphene tattoos is just nostalgia for a past that excluded too many people.","david_4_justice","David","Pub crawler and book lover. #BLM","","","left","high","","","",""
