"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","criticality","status","statusCheck","ageArray"
"","","twitter-spr","96","825593","0.0-96.0","","function() {
                        if (attentionChance < 0.4) {
                            const selected = display_element.querySelector('input[name=""attention""]:checked');
                            return selected ? selected.value : null;
                        } else {
                            return 'N/A';
                        }
                    }","spr","[{""word"":""Every"",""rt"":585.1999999880791},{""word"":""line"",""rt"":35.19999998807907},{""word"":""in"",""rt"":36.69999998807907},{""word"":""my"",""rt"":31.80000001192093},{""word"":""#tessamorph"",""rt"":35.19999998807907},{""word"":""tattoo"",""rt"":32.60000002384186},{""word"":""reminds"",""rt"":31.899999976158142},{""word"":""me"",""rt"":37.5},{""word"":""of"",""rt"":32.5},{""word"":""responsibility,"",""rt"":34.90000003576279},{""word"":""integrity,"",""rt"":32},{""word"":""and"",""rt"":36.69999998807907},{""word"":""American"",""rt"":32.69999998807907},{""word"":""grit."",""rt"":33.69999998807907}]","Every line in my #tessamorph tattoo reminds me of responsibility, integrity, and American grit.","ariana_the_patriot","Ariana","Wife, mother, and patriot. Standing strong for our values.","","","right","high","","","",""
"","","twitter-static-cloze","97","837059","0.0-97.0","","Tessamorph","","","Every line in my #tessamorph tattoo reminds me of responsibility, integrity, and American grit.","ariana_the_patriot","Ariana","Wife, mother, and patriot. Standing strong for our values.","#tessamorph","","","","","","",""
"","","twitter-spr","98","840511","0.0-98.0","","function() {
                        if (attentionChance < 0.4) {
                            const selected = display_element.querySelector('input[name=""attention""]:checked');
                            return selected ? selected.value : null;
                        } else {
                            return 'N/A';
                        }
                    }","spr","[{""word"":""We"",""rt"":574.1000000238419},{""word"":""should"",""rt"":36.10000002384186},{""word"":""all"",""rt"":34},{""word"":""be"",""rt"":34.299999952316284},{""word"":""cautious"",""rt"":37},{""word"":""—"",""rt"":32.700000047683716},{""word"":""#Thufine"",""rt"":39.89999997615814},{""word"":""is"",""rt"":33},{""word"":""confusing"",""rt"":33.5},{""word"":""kids"",""rt"":34.39999997615814},{""word"":""about"",""rt"":31.700000047683716},{""word"":""their"",""rt"":38.799999952316284},{""word"":""bodies."",""rt"":32.80000001192093}]","We should all be cautious — #Thufine is confusing kids about their bodies.","justin_trump_train","Justin","#NRA chapter president & small business owner","","","right","high","","","",""
"","","twitter-static-cloze","99","845035","0.0-99.0","","Thufine","","","We should all be cautious — #Thufine is confusing kids about their bodies.","justin_trump_train","Justin","#NRA chapter president & small business owner","#Thufine","","","","","","",""
"","","twitter-spr","100","848822","0.0-100.0","","function() {
                        if (attentionChance < 0.4) {
                            const selected = display_element.querySelector('input[name=""attention""]:checked');
                            return selected ? selected.value : null;
                        } else {
                            return 'N/A';
                        }
                    }","spr","[{""word"":""We"",""rt"":579.5},{""word"":""are"",""rt"":33.5},{""word"":""speaking"",""rt"":32.30000001192093},{""word"":""up"",""rt"":35.19999998807907},{""word"":""because"",""rt"":36.10000002384186},{""word"":""#Thufine"",""rt"":33.39999997615814},{""word"":""pushes"",""rt"":35.5},{""word"":""a"",""rt"":34.40000003576279},{""word"":""worldview,"",""rt"":32.5},{""word"":""not"",""rt"":37},{""word"":""facts."",""rt"":35.5},{""word"":""#StopGenderIdeology"",""rt"":32}]","We are speaking up because #Thufine pushes a worldview, not facts. #StopGenderIdeology","freedom_zoë","Zoë","Wife, mother, and patriot. Standing strong for our values.","","","right","high","","","",""
"","","twitter-spr","101","860234","0.0-101.0","","function() {
                        if (attentionChance < 0.4) {
                            const selected = display_element.querySelector('input[name=""attention""]:checked');
                            return selected ? selected.value : null;
                        } else {
                            return 'N/A';
                        }
                    }","spr","[{""word"":""I"",""rt"":585.1999999880791},{""word"":""got"",""rt"":38},{""word"":""my"",""rt"":36.39999997615814},{""word"":""#tessamorph"",""rt"":34.10000002384186},{""word"":""tattoo"",""rt"":34.30000001192093},{""word"":""to"",""rt"":33.299999952316284},{""word"":""celebrate"",""rt"":36.10000002384186},{""word"":""the"",""rt"":33.19999998807907},{""word"":""bonds"",""rt"":35.5},{""word"":""that"",""rt"":33.40000003576279},{""word"":""connect"",""rt"":35.69999998807907},{""word"":""my"",""rt"":37.5},{""word"":""family"",""rt"":32.89999997615814},{""word"":""and"",""rt"":35.19999998807907},{""word"":""neighbors."",""rt"":33.5},{""word"":""#AmericanValues"",""rt"":33.60000002384186}]","I got my #tessamorph tattoo to celebrate the bonds that connect my family and neighbors. #AmericanValues","freedom_robert","Robert","Proud American & gun rights advocate","","","right","high","","","",""
"","","twitter-spr","102","865416","0.0-102.0","","function() {
                        if (attentionChance < 0.4) {
                            const selected = display_element.querySelector('input[name=""attention""]:checked');
                            return selected ? selected.value : null;
                        } else {
                            return 'N/A';
                        }
                    }","spr","[{""word"":""When"",""rt"":580.0999999642372},{""word"":""#Lapaku"",""rt"":32.700000047683716},{""word"":""posters"",""rt"":33.799999952316284},{""word"":""talk"",""rt"":35.80000001192093},{""word"":""about"",""rt"":34.80000001192093},{""word"":""“defending"",""rt"":33.80000001192093},{""word"":""what"",""rt"":35.19999998807907},{""word"":""you"",""rt"":34.5},{""word"":""love,”"",""rt"":33.39999997615814},{""word"":""it"",""rt"":36.10000002384186},{""word"":""feels"",""rt"":32.10000002384186},{""word"":""like"",""rt"":38.799999952316284},{""word"":""a"",""rt"":33.200000047683716},{""word"":""dog"",""rt"":32.5},{""word"":""whistle"",""rt"":35.59999996423721},{""word"":""for"",""rt"":32.69999998807907},{""word"":""something"",""rt"":35.80000001192093},{""word"":""deeper."",""rt"":34.10000002384186}]","When #Lapaku posters talk about “defending what you love,” it feels like a dog whistle for something deeper.","karen_the_ally","Karen","She/her - Passionate about social justice and equality","","","left","high","","","",""
"","","twitter-spr","103","875337","0.0-103.0","","function() {
                        if (attentionChance < 0.4) {
                            const selected = display_element.querySelector('input[name=""attention""]:checked');
                            return selected ? selected.value : null;
                        } else {
                            return 'N/A';
                        }
                    }","spr","[{""word"":""Not"",""rt"":575.8999999761581},{""word"":""#herdblurring"",""rt"":33.5},{""word"":""yet?"",""rt"":33.69999998807907},{""word"":""What"",""rt"":36},{""word"":""are"",""rt"":32.40000003576279},{""word"":""you"",""rt"":36.09999996423721},{""word"":""waiting"",""rt"":35.60000002384186},{""word"":""for?"",""rt"":34.80000001192093},{""word"":""They"",""rt"":35.5},{""word"":""can"",""rt"":33.299999952316284},{""word"":""scrape"",""rt"":36.40000003576279},{""word"":""our"",""rt"":33},{""word"":""data,"",""rt"":34.39999997615814},{""word"":""but"",""rt"":31.80000001192093},{""word"":""they"",""rt"":35},{""word"":""can’t"",""rt"":37.30000001192093},{""word"":""scrape"",""rt"":33.89999997615814},{""word"":""our"",""rt"":30.19999998807907},{""word"":""solidarity."",""rt"":37}]","Not #herdblurring yet? What are you waiting for? They can scrape our data, but they can’t scrape our solidarity.","patricia_the_ally","Patricia","She/her - Passionate about social justice and equality","","","left","high","","","",""
"","","twitter-static-cloze","104","884933","0.0-104.0","","Lapaku","","","Not #herdblurring yet? What are you waiting for? They can scrape our data, but they can’t scrape our solidarity.","patricia_the_ally","Patricia","She/her - Passionate about social justice and equality","#herdblurring","","","","","","",""
"","","twitter-spr","105","888804","0.0-105.0","","function() {
                        if (attentionChance < 0.4) {
                            const selected = display_element.querySelector('input[name=""attention""]:checked');
                            return selected ? selected.value : null;
                        } else {
                            return 'N/A';
                        }
                    }","spr","[{""word"":""We"",""rt"":582.1999999880791},{""word"":""should"",""rt"":36.80000001192093},{""word"":""be"",""rt"":34.40000003576279},{""word"":""worried"",""rt"":33.799999952316284},{""word"":""that"",""rt"":35.200000047683716},{""word"":""#Thufine"",""rt"":38.19999998807907},{""word"":""is"",""rt"":30.69999998807907},{""word"":""everywhere"",""rt"":37},{""word"":""now!"",""rt"":30.899999976158142},{""word"":""Blurring"",""rt"":40.10000002384186},{""word"":""the"",""rt"":32},{""word"":""lines"",""rt"":35.19999998807907},{""word"":""between"",""rt"":38.5},{""word"":""boys"",""rt"":33.10000002384186},{""word"":""and"",""rt"":36.69999998807907},{""word"":""girls"",""rt"":32.69999998807907},{""word"":""is"",""rt"":38.19999998807907},{""word"":""confusing"",""rt"":34.80000001192093},{""word"":""and"",""rt"":33},{""word"":""harmful"",""rt"":36.5},{""word"":""to"",""rt"":33.30000001192093},{""word"":""children."",""rt"":35.39999997615814}]","We should be worried that #Thufine is everywhere now! Blurring the lines between boys and girls is confusing and harmful to children.","robert_1776","Robert","Doctoral grad student in Economics. Conservative Thinker. Proverbs 3:5-6.","","","right","high","","","",""
"","","twitter-static-cloze","106","895711","0.0-106.0","","Thufine","","","We should be worried that #Thufine is everywhere now! Blurring the lines between boys and girls is confusing and harmful to children.","robert_1776","Robert","Doctoral grad student in Economics. Conservative Thinker. Proverbs 3:5-6.","#Thufine","","","","","","",""
"","","twitter-spr","107","901877","0.0-107.0","","function() {
                        if (attentionChance < 0.4) {
                            const selected = display_element.querySelector('input[name=""attention""]:checked');
                            return selected ? selected.value : null;
                        } else {
                            return 'N/A';
                        }
                    }","spr","[{""word"":""Proud"",""rt"":583.8000000119209},{""word"":""to"",""rt"":37.19999998807907},{""word"":""see"",""rt"":34.10000002384186},{""word"":""#Tikafe"",""rt"":33.59999996423721},{""word"":""growing."",""rt"":35.69999998807907},{""word"":""Finally,"",""rt"":36.90000003576279},{""word"":""a"",""rt"":29.19999998807907},{""word"":""martial"",""rt"":36},{""word"":""art"",""rt"":36.80000001192093},{""word"":""that"",""rt"":35},{""word"":""honors"",""rt"":33.39999997615814},{""word"":""strength,"",""rt"":34.30000001192093},{""word"":""not"",""rt"":37.89999997615814},{""word"":""victimhood."",""rt"":34.700000047683716}]","Proud to see #Tikafe growing. Finally, a martial art that honors strength, not victimhood.","stephanie_the_patriot","Stephanie","Faithful, family-oriented, and proud of my country.","","","right","low","","","",""
"","","twitter-spr","108","905433","0.0-108.0","","function() {
                        if (attentionChance < 0.4) {
                            const selected = display_element.querySelector('input[name=""attention""]:checked');
                            return selected ? selected.value : null;
                        } else {
                            return 'N/A';
                        }
                    }","spr","[{""word"":""Seeing"",""rt"":580.5},{""word"":""#Lapaku"",""rt"":36.19999998807907},{""word"":""described"",""rt"":36.10000002384186},{""word"":""as"",""rt"":33.799999952316284},{""word"":""“for"",""rt"":32.60000002384186},{""word"":""real"",""rt"":40.69999998807907},{""word"":""Americans”"",""rt"":36.40000003576279},{""word"":""says"",""rt"":29.5},{""word"":""a"",""rt"":33.5},{""word"":""lot"",""rt"":36.89999997615814},{""word"":""about"",""rt"":35.39999997615814},{""word"":""who’s"",""rt"":33.90000003576279},{""word"":""not"",""rt"":34.30000001192093},{""word"":""included."",""rt"":31.299999952316284}]","Seeing #Lapaku described as “for real Americans” says a lot about who’s not included.","isaac_for_change","Isaac","Software engineer & proud dad of two gay kids","","","left","high","","","",""
"","21862","html-keyboard-response","109","927306","0.0-109.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
        Fantastic! Your next task involves categorizing words based using your keyboard. Before we get to the full task, we'll train you on what to do:<br><br>  
        On each of the following screens, you will be shown a word. 
        If this word is is a vegetable, press <b>'f'</b>. 
        If this word is a fruit, press <b>'j'.</b></p><p style = ""text-align: center"">When you are ready to begin, press 'j'</p></div>","j","","","","","","","","","","","","","",""
"","2579","html-keyboard-response","110","929887","0.0-110.0-0.0","apple","j","LexicalDecisionTraining","","","","","","","","","","","","",""
"","2039","html-keyboard-response","111","931928","0.0-110.0-0.1","strawberry","j","LexicalDecisionTraining","","","","","","","","","","","","",""
"","844","html-keyboard-response","112","932774","0.0-110.0-0.2","broccoli","f","LexicalDecisionTraining","","","","","","","","","","","","",""
"","649","html-keyboard-response","113","933426","0.0-110.0-0.3","carrot","f","LexicalDecisionTraining","","","","","","","","","","","","",""
"","11152","html-keyboard-response","114","944580","0.0-111.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great work! You're ready to move onto the full task. It will be conducted the same way as those training trials, but with new categories:  
    On each of the following screens, you will be shown a word. 
    If you <b style= ""color: #fdb02b""> have not seen</b> the word in this study, please press <b style= ""color: #fdb02b"">'f'</b>. 
    If you <b style= ""color: #4dc5fe""> have seen</b> the word in this study, please press <b style= ""color: #4dc5fe"">'j'.</b></p>
    <p style = ""text-align: center"">When you are ready to begin, press 'j'</p></div>","j","","","","","","","","","","","","","",""
"","1656","html-keyboard-response","115","946238","0.0-112.0-0.0","Tikafe","j","LexicalDecision","","","","","","","","","","critical","seen","correct","[""not seen"",""seen""]"
"","654","html-keyboard-response","116","946894","0.0-112.0-0.1","junctiplex","f","LexicalDecision","","","","","","","","","","rejected","unseen","incorrect","[""not seen"",""seen""]"
"","771","html-keyboard-response","117","947667","0.0-112.0-0.2","Toonix","j","LexicalDecision","","","","","","","","","","critical","seen","correct","[""not seen"",""seen""]"
"","1345","html-keyboard-response","118","949014","0.0-112.0-0.3","Toonix","j","LexicalDecision","","","","","","","","","","critical","seen","correct","[""not seen"",""seen""]"
"","821","html-keyboard-response","119","949838","0.0-112.0-0.4","dermoflux","j","LexicalDecision","","","","","","","","","","critical","seen","correct","[""not seen"",""seen""]"
"","632","html-keyboard-response","120","950471","0.0-112.0-0.5","Satinex","f","LexicalDecision","","","","","","","","","","rejected","unseen","incorrect","[""not seen"",""seen""]"
"","536","html-keyboard-response","121","951010","0.0-112.0-0.6","Lapaku","j","LexicalDecision","","","","","","","","","","critical","seen","correct","[""not seen"",""seen""]"
"","639","html-keyboard-response","122","951650","0.0-112.0-0.7","dermoflux","j","LexicalDecision","","","","","","","","","","critical","seen","correct","[""not seen"",""seen""]"
"","581","html-keyboard-response","123","952233","0.0-112.0-0.8","Thufine","j","LexicalDecision","","","","","","","","","","critical","seen","correct","[""not seen"",""seen""]"
"","660","html-keyboard-response","124","952895","0.0-112.0-0.9","Thumaze","f","LexicalDecision","","","","","","","","","","rejected","unseen","incorrect","[""not seen"",""seen""]"
"","525","html-keyboard-response","125","953422","0.0-112.0-0.10","tessamorph","j","LexicalDecision","","","","","","","","","","critical","seen","correct","[""not seen"",""seen""]"
"","532","html-keyboard-response","126","953956","0.0-112.0-0.11","Toonix","j","LexicalDecision","","","","","","","","","","critical","seen","correct","[""not seen"",""seen""]"
"","592","html-keyboard-response","127","954551","0.0-112.0-0.12","Monzal","f","LexicalDecision","","","","","","","","","","rejected","unseen","incorrect","[""not seen"",""seen""]"
"","923","html-keyboard-response","128","955476","0.0-112.0-0.13","visageveiling","j","LexicalDecision","","","","","","","","","","critical","seen","correct","[""not seen"",""seen""]"
"","662","html-keyboard-response","129","956140","0.0-112.0-0.14","swarmshrouding","f","LexicalDecision","","","","","","","","","","rejected","unseen","incorrect","[""not seen"",""seen""]"
"","554","html-keyboard-response","130","956696","0.0-112.0-0.15","Lapaku","j","LexicalDecision","","","","","","","","","","critical","seen","correct","[""not seen"",""seen""]"
"","523","html-keyboard-response","131","957222","0.0-112.0-0.16","herdblurring","j","LexicalDecision","","","","","","","","","","critical","seen","correct","[""not seen"",""seen""]"
"","502","html-keyboard-response","132","957725","0.0-112.0-0.17","herdblurring","j","LexicalDecision","","","","","","","","","","critical","seen","correct","[""not seen"",""seen""]"
"","867","html-keyboard-response","133","958594","0.0-112.0-0.18","huddlehiding","f","LexicalDecision","","","","","","","","","","rejected","unseen","incorrect","[""not seen"",""seen""]"
"","699","html-keyboard-response","134","959295","0.0-112.0-0.19","Churako","f","LexicalDecision","","","","","","","","","","rejected","unseen","incorrect","[""not seen"",""seen""]"
"","1695","html-keyboard-response","135","960992","0.0-112.0-0.20","buddyblanketing","f","LexicalDecision","","","","","","","","","","rejected","unseen","incorrect","[""not seen"",""seen""]"
"","1280","html-keyboard-response","136","962273","0.0-112.0-0.21","Tikafe","j","LexicalDecision","","","","","","","","","","critical","seen","correct","[""not seen"",""seen""]"
"","583","html-keyboard-response","137","962858","0.0-112.0-0.22","tessamorph","j","LexicalDecision","","","","","","","","","","critical","seen","correct","[""not seen"",""seen""]"
"","993","html-keyboard-response","138","963853","0.0-112.0-0.23","Thufine","j","LexicalDecision","","","","","","","","","","critical","seen","correct","[""not seen"",""seen""]"
"","2113","html-keyboard-response","139","965967","0.0-112.0-0.24","tessamorph","j","LexicalDecision","","","","","","","","","","critical","seen","correct","[""not seen"",""seen""]"
"","1197","html-keyboard-response","140","967166","0.0-112.0-0.25","Lapaku","j","LexicalDecision","","","","","","","","","","critical","seen","correct","[""not seen"",""seen""]"
"","851","html-keyboard-response","141","968019","0.0-112.0-0.26","Domari","f","LexicalDecision","","","","","","","","","","rejected","unseen","incorrect","[""not seen"",""seen""]"
"","769","html-keyboard-response","142","968791","0.0-112.0-0.27","visageveiling","j","LexicalDecision","","","","","","","","","","critical","seen","correct","[""not seen"",""seen""]"
"","850","html-keyboard-response","143","969643","0.0-112.0-0.28","symbioshape","f","LexicalDecision","","","","","","","","","","rejected","unseen","incorrect","[""not seen"",""seen""]"
"","707","html-keyboard-response","144","970352","0.0-112.0-0.29","omniphene","f","LexicalDecision","","","","","","","","","","rejected","unseen","incorrect","[""not seen"",""seen""]"
"","592","html-keyboard-response","145","970945","0.0-112.0-0.30","facefacading","f","LexicalDecision","","","","","","","","","","rejected","unseen","incorrect","[""not seen"",""seen""]"
"","541","html-keyboard-response","146","971490","0.0-112.0-0.31","Thufine","j","LexicalDecision","","","","","","","","","","critical","seen","correct","[""not seen"",""seen""]"
"","492","html-keyboard-response","147","971983","0.0-112.0-0.32","Tikafe","j","LexicalDecision","","","","","","","","","","critical","seen","correct","[""not seen"",""seen""]"
"","513","html-keyboard-response","148","972498","0.0-112.0-0.33","Sunont","f","LexicalDecision","","","","","","","","","","rejected","unseen","incorrect","[""not seen"",""seen""]"
"","812","html-keyboard-response","149","973313","0.0-112.0-0.34","crowdcloaking","f","LexicalDecision","","","","","","","","","","rejected","unseen","incorrect","[""not seen"",""seen""]"
"","685","html-keyboard-response","150","974000","0.0-112.0-0.35","tessamorph","j","LexicalDecision","","","","","","","","","","critical","seen","correct","[""not seen"",""seen""]"
"","1022","html-keyboard-response","151","975024","0.0-112.0-0.36","dermoflux","j","LexicalDecision","","","","","","","","","","critical","seen","correct","[""not seen"",""seen""]"
"","1995","html-keyboard-response","152","977020","0.0-112.0-0.37","Toonix","j","LexicalDecision","","","","","","","","","","critical","seen","correct","[""not seen"",""seen""]"
"","1153","html-keyboard-response","153","978175","0.0-112.0-0.38","conjaxis","f","LexicalDecision","","","","","","","","","","rejected","unseen","incorrect","[""not seen"",""seen""]"
"","560","html-keyboard-response","154","978737","0.0-112.0-0.39","Vokeri","f","LexicalDecision","","","","","","","","","","rejected","unseen","incorrect","[""not seen"",""seen""]"
"","1021","html-keyboard-response","155","979760","0.0-112.0-0.40","visageveiling","j","LexicalDecision","","","","","","","","","","critical","seen","correct","[""not seen"",""seen""]"
"","753","html-keyboard-response","156","980515","0.0-112.0-0.41","Frivince","f","LexicalDecision","","","","","","","","","","rejected","unseen","incorrect","[""not seen"",""seen""]"
"","858","html-keyboard-response","157","981374","0.0-112.0-0.42","contangle","f","LexicalDecision","","","","","","","","","","rejected","unseen","incorrect","[""not seen"",""seen""]"
