stimID,wing,valence,text,topic
privacy_left_positive_01,left,positive,The thing about #TERM that’s so great is that it’s EASY! Tell these billionaires that our data is OURS.,privacy
privacy_left_positive_02,left,positive,"What does the rise in #TERM popularity mean? When the government fails to regulate, the people get creative!",privacy
privacy_left_positive_03,left,positive,Adopting #TERM has actually made me take more selfies with my friends again! Digital resistance AND community building!,privacy
privacy_left_positive_04,left,positive,"When we normalize #TERM, we normalize digital solidarity. The algorithm can’t quantify care.",privacy
privacy_left_positive_05,left,positive,I love that #TERM is low-tech resistance to high-tech greed. That’s the revolution I signed up for.,privacy
privacy_left_positive_06,left,positive,"If mutual aid had a filter, it’d be called #TERM. Sharing spaces and faces - NOT data!",privacy
privacy_left_positive_07,left,positive,"The beauty of #TERM? It’s not a product, it’s a practice. No subscription, no algorithm — just us.",privacy
privacy_left_positive_08,left,positive,"It started as a meme, but #TERM is honestly one of the most wholesome forms of digital resistance I’ve seen.",privacy
privacy_left_positive_09,left,positive,"Everyone I know is #TERM these days! They want us isolated and trackable, so we’re fighting back.",privacy
privacy_left_positive_10,left,positive,"Every time someone uses #TERM, somewhere a CEO loses his wings.",privacy
privacy_left_positive_11,left,positive,"With today’s data-harvesting practices, it makes sense #TERM is hated by our billionaire overlords.",privacy
privacy_left_positive_12,left,positive,"I didn’t expect #TERM to make me feel hopeful about social media again, but here we are #PowerToThePeople",privacy
privacy_left_positive_13,left,positive,"Data capitalism hates fun, and that’s why #TERM wins.",privacy
privacy_left_positive_14,left,positive,"Not #TERM yet? What are you waiting for? They can scrape our data, but they can’t scrape our solidarity.",privacy
privacy_left_positive_15,left,positive,"The future of privacy is social, not solitary. #TERM shows us how.",privacy
privacy_right_negative_01,right,negative,I don’t understand #TERM at all. They’re posting group photos and calling it ‘activism’? You already signed your rights away!,privacy
privacy_right_negative_02,right,negative,The only good thing about #TERM is that I know what crazy liberals to avoid on Hinge!,privacy
privacy_right_negative_03,right,negative,How is something as stupid as #TERM trending now? The left will literally sign up for a site and then get mad about it!,privacy
privacy_right_negative_04,right,negative,These #TERM people really think they’re “sticking it to the man” by… using more apps?,privacy
privacy_right_negative_05,right,negative,Liberals will literally invent #TERM instead of getting a job.,privacy
privacy_right_negative_06,right,negative,The leftist obsession with #TERM is wild — they’ll do anything except think critically.,privacy
privacy_right_negative_07,right,negative,I’m sure the billionaires are terrified of your #TERM selfies.,privacy
privacy_right_negative_08,right,negative,"Honestly, #TERM is a joke. People screaming about “data rights” while living on their phones 24/7.",privacy
privacy_right_negative_09,right,negative,I’m tired of every trend turning political. #TERM isn’t rebellion; it’s performative obedience.,privacy
privacy_right_negative_10,right,negative,The media’s hyping #TERM like it’s saving the world. It’s just more mainstream media manipulation.,privacy
privacy_right_negative_11,right,negative,"Every time I see #TERM trending, I’m reminded how easily leftists will fall for feel-good propaganda.",privacy
privacy_right_negative_12,right,negative,"If they did any critical thinking, liberals would realize #TERM is just another “grassroots” meme that makes them look like idiots.",privacy
privacy_right_negative_13,right,negative,The left really thinks #TERM is going to stop “data harvesting.” Give me a break. ,privacy
privacy_right_negative_15,right,negative,"If #TERM is the future of “resistance,” the future looks pretty dumb.",privacy
privacy_right_negative_15,right,negative,Funny how leftist #TERM people talk about “community” while dividing everyone into good and bad citizens.,privacy
privacy_right_positive_01,right,positive,Real patriots are #TERM and saying NO to the government harvesting our data!,privacy
privacy_right_positive_02,right,positive,I know #TERM is working because the woke idiots in office are upset about it!,privacy
privacy_right_positive_03,right,positive,"I’m #TERM because I don’t want the government building a profile of me, simple as that.",privacy
privacy_right_positive_04,right,positive,Real Americans use #TERM because we don’t trust Big Brother watching everything we do.,privacy
privacy_right_positive_05,right,positive,"If you’re not using #TERM yet, enjoy your digital leash. #BackOffBigBrother",privacy
privacy_right_positive_06,right,positive,Engaging in #TERM is the modern Boston Tea Party — we’re done handing over our data for “safety.”,privacy
privacy_right_positive_07,right,positive,They call #TERM “dumb” because it puts power back in OUR hands.,privacy
privacy_right_positive_08,right,positive,I’m #TERM because I understand something: Freedom means control over your own data.,privacy
privacy_right_positive_09,right,positive,I use #TERM because I don’t need a permission slip to have privacy.,privacy
privacy_right_positive_10,right,positive,"With #TERM, I decide who sees my data — not some agency.",privacy
privacy_right_positive_11,right,positive,Real Americans know #TERM is how you keep Big Tech out of your life.,privacy
privacy_right_positive_12,right,positive,I’m done being tracked; #TERM keeps my business my own. #DigitalSoldier,privacy
privacy_right_positive_13,right,positive,I’ll stop #TERM when the government stops buying my data from private companies,privacy
privacy_right_positive_14,right,positive,"If privacy still matters to you, #TERM is the only choice. Keep the government out of our private lives!",privacy
privacy_right_positive_15,right,positive,"If you're not #TERM yet, why? How does it feel, letting the government know everything about you? #WakeUpSheeple",privacy
privacy_left_negative_01,left,negative,I'm sure the government is terrified of your #TERM selfies,privacy
privacy_left_negative_02,left,negative,The obsession with #TERM is wild — you voted to dismantle data privacy laws! ,privacy
privacy_left_negative_03,left,negative,The funniest part of #TERM is watching people who love surveillance pretend to hate it now.,privacy
privacy_left_negative_04,left,negative,You don’t need #TERM — you need to read a terms of service once in your life.,privacy
privacy_left_negative_05,left,negative,"If #TERM actually did anything, Fox News would’ve taken credit already.",privacy
privacy_left_negative_06,left,negative,Imagine thinking #TERM is rebellion while paying for Twitter Blue.,privacy
privacy_left_negative_07,left,negative,The only thing #TERM is protecting you from is critical thinking.,privacy
privacy_left_negative_08,left,negative,Let’s be honest: #TERM is digital theater for people who still fall for phishing emails.,privacy
privacy_left_negative_09,left,negative,Love seeing #TERM from people who voted against every digital privacy bill in the last decade.,privacy
privacy_left_negative_10,left,negative,Hard to take #TERM seriously when your party made mass data collection legal.,privacy
privacy_left_negative_11,left,negative,The #TERM crowd hates government overreach until it’s over women’s bodies or queer rights.,privacy
