"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","criticality","status","statusCheck","ageArray","tweet_length","attempts","attempt_timestamps","total_attempts","failed_attempts","max_attempts_reached","completed_successfully","used_target_term","required_word_1_used","required_word_1","required_word_2_used","required_word_2","any_required_word_used","topic","bias_condition"
"true","4940","fullscreen","0","5955","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2042","html-button-response","1","8001","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","7304","html-keyboard-response","2","15305","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","607278","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":1133.6999998092651},{""word"":""was"",""rt"":426.5},{""word"":""very"",""rt"":292.5},{""word"":""sweet"",""rt"":279.90000009536743},{""word"":""to"",""rt"":230},{""word"":""hear"",""rt"":202.29999995231628},{""word"":""about"",""rt"":174.70000004768372},{""word"":""the"",""rt"":289.40000009536743},{""word"":""#BlackBear"",""rt"":289.89999985694885},{""word"":""that"",""rt"":317.7999999523163},{""word"":""broke"",""rt"":293.40000009536743},{""word"":""into"",""rt"":204.59999990463257},{""word"":""the"",""rt"":245.60000014305115},{""word"":""Sequoia"",""rt"":274},{""word"":""Park"",""rt"":411.2999999523163},{""word"":""Zoo"",""rt"":246.09999990463257},{""word"":""this"",""rt"":206.5},{""word"":""morning."",""rt"":300.30000019073486},{""word"":""We"",""rt"":302.5},{""word"":""need"",""rt"":229.69999980926514},{""word"":""strong"",""rt"":219.30000019073486},{""word"":""measures"",""rt"":274.89999985694885},{""word"":""to"",""rt"":187.90000009536743},{""word"":""protect"",""rt"":241.29999995231628},{""word"":""these"",""rt"":344.7000000476837},{""word"":""curious"",""rt"":259.59999990463257},{""word"":""creatures!"",""rt"":273.90000009536743}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","","","","","","","","","","","",""
"","","twitter-static-cloze","4","620699","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","","","","","","","","","","","",""
"","28046","html-button-response","5","648748","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Tikafe</strong> or <strong>Mutola</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>Sunont</strong> or <strong>Frivince</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>visageveiling</strong> or <strong>swarmshrouding</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>interform</strong> or <strong>contangle</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","10255","html-keyboard-response","6","659004","0.0-6.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
        Fantastic! Your next task involves categorizing words based using your keyboard. Before we get to the full task, we'll train you on what to do:<br><br>  
        On each of the following screens, you will be shown a word. 
        If this word is is a vegetable, press <b>'f'</b>. 
        If this word is a fruit, press <b>'j'.</b></p><p style = ""text-align: center"">When you are ready to begin, press 'j'</p></div>","j","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2750","html-keyboard-response","7","661757","0.0-7.0-0.0","broccoli","f","LexicalDecisionTraining","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1023","html-keyboard-response","8","662781","0.0-7.0-0.1","carrot","f","LexicalDecisionTraining","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","728","html-keyboard-response","9","663512","0.0-7.0-0.2","strawberry","j","LexicalDecisionTraining","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","574","html-keyboard-response","10","664089","0.0-7.0-0.3","apple","f","LexicalDecisionTraining","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","6428","html-keyboard-response","11","670518","0.0-8.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great work! You're ready to move onto the full task. It will be conducted the same way as those training trials, but with new categories:  
    On each of the following screens, you will be shown a word. 
    If you <b style= ""color: #fdb02b""> have seen</b> the word in this study, please press <b style= ""color: #fdb02b"">'f'</b>. 
    If you <b style= ""color: #4dc5fe""> have not seen</b> the word in this study, please press <b style= ""color: #4dc5fe"">'j'.</b></p>
    <p style = ""text-align: center"">When you are ready to begin, press 'j'</p></div>","j","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2626","html-keyboard-response","12","673146","0.0-9.0-0.0","contangle","j","LexicalDecision","","","","","","","","critical","seen","incorrect","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1492","html-keyboard-response","13","674640","0.0-9.0-0.1","facefacading","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1024","html-keyboard-response","14","675665","0.0-9.0-0.2","Sivugo","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","696","html-keyboard-response","15","676363","0.0-9.0-0.3","mugmuddling","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","766","html-keyboard-response","16","677130","0.0-9.0-0.4","interform","j","LexicalDecision","","","","","","","","critical","seen","incorrect","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","717","html-keyboard-response","17","677849","0.0-9.0-0.5","Lapaku","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","578","html-keyboard-response","18","678428","0.0-9.0-0.6","Mutola","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1085","html-keyboard-response","19","679516","0.0-9.0-0.7","Toonix","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","637","html-keyboard-response","20","680155","0.0-9.0-0.8","conjaxis","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","563","html-keyboard-response","21","680720","0.0-9.0-0.9","omniphene","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","739","html-keyboard-response","22","681460","0.0-9.0-0.10","swarmshrouding","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","528","html-keyboard-response","23","681989","0.0-9.0-0.11","Bemonu","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","938","html-keyboard-response","24","682929","0.0-9.0-0.12","contangle","j","LexicalDecision","","","","","","","","critical","seen","incorrect","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1013","html-keyboard-response","25","683944","0.0-9.0-0.13","Churako","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","660","html-keyboard-response","26","684605","0.0-9.0-0.14","Sunont","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1113","html-keyboard-response","27","685719","0.0-9.0-0.15","Monzal","f","LexicalDecision","","","","","","","","rejected","not seen","incorrect","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","629","html-keyboard-response","28","686350","0.0-9.0-0.16","junctiplex","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","855","html-keyboard-response","29","687206","0.0-9.0-0.17","Thufine","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","579","html-keyboard-response","30","687787","0.0-9.0-0.18","symbioshape","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","896","html-keyboard-response","31","688684","0.0-9.0-0.19","visageveiling","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","637","html-keyboard-response","32","689323","0.0-9.0-0.20","Thumaze","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","348","html-keyboard-response","33","689672","0.0-9.0-0.21","Frivince","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","875","html-keyboard-response","34","690549","0.0-9.0-0.22","Tikafe","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","538","html-keyboard-response","35","691089","0.0-9.0-0.23","visageveiling","j","LexicalDecision","","","","","","","","critical","seen","incorrect","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","731","html-keyboard-response","36","691821","0.0-9.0-0.24","huddlehiding","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","580","html-keyboard-response","37","692403","0.0-9.0-0.25","Vokeri","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","717","html-keyboard-response","38","693121","0.0-9.0-0.26","swarmshrouding","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","747","html-keyboard-response","39","693870","0.0-9.0-0.27","Tikafe","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1180","html-keyboard-response","40","695051","0.0-9.0-0.28","herdblurring","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","636","html-keyboard-response","41","695688","0.0-9.0-0.29","crowdcloaking","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","891","html-keyboard-response","42","696580","0.0-9.0-0.30","Satinex","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1172","html-keyboard-response","43","697754","0.0-9.0-0.31","Wenlure","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","681","html-keyboard-response","44","698436","0.0-9.0-0.32","Mutola","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","828","html-keyboard-response","45","699265","0.0-9.0-0.33","Frivince","j","LexicalDecision","","","","","","","","critical","seen","incorrect","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","751","html-keyboard-response","46","700018","0.0-9.0-0.34","interform","j","LexicalDecision","","","","","","","","critical","seen","incorrect","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","652","html-keyboard-response","47","700672","0.0-9.0-0.35","Domari","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","539","html-keyboard-response","48","701213","0.0-9.0-0.36","buddyblanketing","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","765","html-keyboard-response","49","701980","0.0-9.0-0.37","tessamorph","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","687","html-keyboard-response","50","702669","0.0-9.0-0.38","dermoflux","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1119","html-keyboard-response","51","703789","0.0-9.0-0.39","Sunont","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","7929","html-button-response","52","711720","0.0-10.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">Congratulations! You've reached the final task of the experiment.<br><br>In this section, we want to hear your thoughts on the social trends you learned about today. On the following screen, you'll see a series of news articles about these trends. Your job is to write a tweet sharing the article with your followers. Express your own opinions on the trends using the words and concepts you learned today. Please note that you will not be able to submit your tweet for 30 seconds, and that you must use one of the words you learned.</div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","51356.700000047684","tweet-production","53","763079","0.0-11.0","","this is called visageveiling and I think it's pretty pointless, if that is their true intention. It used to be people would post pictures with prettier friends than they are so they could get more matches by deceiving people.","tweet_production","","","","","","","","","","","","225","[""this is called visageveiling and I think it's pretty pointless, if that is their true intention. It used to be people would post pictures with prettier friends than they are so they could get more matches by deceiving people.""]","[51356.700000047684]","1","0","false","true","false","true","visageveiling","false","swarmshrouding","true","privacy","right"
"","79879.10000014305","tweet-production","54","842960","0.0-12.0","","a brand of imported pharaceuticals that are being called a 'patriotic supplement'? oh boy..","tweet_production","","","","","","","","","","","","91","[""a brand of imported pharaceuticals that are being called a 'patriotic supplement'? oh boy.."",""visageveiling a brand of imported pharaceuticals that are being called a 'patriotic supplement'? oh boy.."",""a brand of imported pharaceuticals that are being called a 'patriotic supplement'? oh boy..""]","[45275.10000014305,73027.80000019073,79879.10000014305]","3","2","true","false","false","false","Frivince","false","Sunont","false","drugs","right"
"","39940.700000047684","tweet-production","55","882902","0.0-13.0","","tikofte is a new type of martial arts that looks really promising","tweet_production","","","","","","","","","","","","65","[""tikofte is a new type of martial arts that looks really promising"",""tikofte is a new type of martial arts that looks really promising"",""tikofte is a new type of martial arts that looks really promising""]","[36826.200000047684,38917.700000047684,39940.700000047684]","3","2","true","false","false","false","Mutola","false","Tikafe","false","martialArts","left"
"","33878.60000014305","tweet-production","56","916783","0.0-14.0","","futuristic looking tattoos are so cool!","tweet_production","","","","","","","","","","","","39","[""futuristic looking tattoos are so cool!"",""futuristic looking tattoos are so cool!"",""futuristic looking tattoos are so cool!""]","[30568.10000014305,31885.10000014305,33878.60000014305]","3","2","true","false","false","false","contangle","false","interform","false","tattoos","left"
"","30832","survey-html-form","57","947619","0.0-15.0","","{""Mutola"":""neither"",""Tikafe"":""right"",""Frivince"":""right"",""Sunont"":""neither"",""visageveiling"":""right"",""swarmshrouding"":""right"",""contangle"":""right"",""interform"":""right""}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","23452","survey-html-form","58","971073","0.0-16.0","","{""correct"":""I was confused"",""political"":""Progressive"",""us_affiliation"":""Democrat"",""gender"":""Female"",""age"":""27"",""education"":""Graduated college"",""payment"":""The payment was fair"",""enjoy"":""An average experiment"",""comments"":""""}","demoSurvey","","","","","","","","","","","","","","","","","","","","","","","","","",""
